,img_name,img_source,fire,pos_y,pos_x,wind_direction,wind_strength
0,0000-870705_sat_12,DeepGlobe,True,200.0,116.0,4.891009452253141,0.43439735417749403
1,0001-b133,RSSCN7,True,47.0,80.0,6.139602864858573,0.07743269174510448
2,0002-226788_sat_87,DeepGlobe,True,103.0,112.0,3.0717004820256975,0.6887722232171198
3,0003-71619_sat_30,DeepGlobe,True,114.0,104.0,0.6577731703718159,0.2357201323283159
4,0004-650253_sat_38,DeepGlobe,False,,,,
5,0005-935318_sat_57,DeepGlobe,True,20.0,77.0,4.406194878175889,0.33296768970041724
6,0006-b167,RSSCN7,True,88.0,161.0,4.393679312024769,0.5437171534737908
7,0007-839641_sat_18,DeepGlobe,True,46.0,168.0,0.22634131261312207,0.729705952615041
8,0008-316446_sat_17,DeepGlobe,True,97.0,196.0,1.2774680723613066,0.5439018696120834
9,0009-b192,RSSCN7,True,169.0,131.0,0.09388958395762213,0.6289047048553041
10,0010-361129_sat_66,DeepGlobe,True,117.0,52.0,1.3697886538468553,0.25370906587807607
11,0011-3484_sat_44,DeepGlobe,True,123.0,122.0,2.6379733906440412,0.48734174055234947
12,0012-a197,RSSCN7,True,204.0,158.0,2.2014254942545235,0.7000092178122432
13,0013-950926_sat_42,DeepGlobe,True,225.0,169.0,4.720458112025162,0.4533085432750093
14,0014-736869_sat_73,DeepGlobe,True,192.0,160.0,4.66402595565687,0.4399793894215959
15,0015-992507_sat_75,DeepGlobe,False,,,,
16,0016-952430_sat_81,DeepGlobe,False,,,,
17,0017-810749_sat_44,DeepGlobe,True,199.0,245.0,2.262273241230135,0.7254272412572846
18,0018-691384_sat_51,DeepGlobe,True,112.0,42.0,0.4695150924531314,0.38999408105155264
19,0019-925425_sat_34,DeepGlobe,True,202.0,174.0,2.3211183661172488,0.8183744022246715
20,0020-a102,RSSCN7,True,71.0,241.0,5.449329535373103,0.7376321732409825
21,0021-34359_sat_85,DeepGlobe,False,,,,
22,0022-20187_sat_56,DeepGlobe,False,,,,
23,0023-498049_sat_02,DeepGlobe,True,39.0,142.0,1.1774240092055606,0.12047466045805827
24,0024-626208_sat_31,DeepGlobe,True,111.0,202.0,0.33268654319907287,0.19611011665721945
25,0025-122178_sat_07,DeepGlobe,True,120.0,133.0,5.870600026691176,0.7223116319154514
26,0026-255876_sat_20,DeepGlobe,True,160.0,72.0,3.8551064672257365,0.5852000197803444
27,0027-b183,RSSCN7,True,107.0,211.0,3.3333626608886724,0.48829086543544065
28,0028-b123,RSSCN7,True,194.0,214.0,4.0645055760614,0.40975140637512364
29,0029-a015,RSSCN7,True,242.0,129.0,3.062197810367865,0.6946366600090004
30,0030-a255,RSSCN7,True,205.0,86.0,3.5562407248872003,0.695411637041919
31,0031-950926_sat_04,DeepGlobe,True,66.0,99.0,5.9835556934303,0.39398711343383974
32,0032-753408_sat_10,DeepGlobe,False,,,,
33,0033-119079_sat_32,DeepGlobe,True,100.0,124.0,0.17193953855208605,0.06494586508886241
34,0034-981852_sat_50,DeepGlobe,True,235.0,143.0,2.60549072457925,0.2869609488756615
35,0035-570332_sat_84,DeepGlobe,True,65.0,186.0,0.11767132709226494,0.3189676138085559
36,0036-524518_sat_50,DeepGlobe,True,199.0,33.0,4.480440800607973,0.7602413111657597
37,0037-875328_sat_12,DeepGlobe,True,90.0,132.0,4.293293811808091,0.18806688639035324
38,0038-352808_sat_36,DeepGlobe,True,84.0,99.0,4.992902657595377,0.6510371395056841
39,0039-943943_sat_18,DeepGlobe,True,231.0,158.0,5.864046995143824,0.3915511498357328
40,0040-392711_sat_13,DeepGlobe,True,117.0,150.0,2.0995437029200477,0.7643408112236953
41,0041-b060,RSSCN7,True,36.0,94.0,0.8223221078716754,0.4052949276668751
42,0042-114473_sat_60,DeepGlobe,True,153.0,96.0,4.822729620435694,0.8381103345810377
43,0043-563092_sat_73,DeepGlobe,False,,,,
